tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
559,02:29.4,11:49.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,21345,Subscriber,1994,1
1408,04:50.2,28:18.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,487,E 20 St & FDR Drive,40.73314259,-73.97573881,32254,Subscriber,1966,1
133,05:00.4,07:14.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,508,W 46 St & 11 Ave,40.76341379,-73.99667444,31250,Subscriber,1994,1
234,18:53.2,22:48.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,447,8 Ave & W 52 St,40.76370739,-73.9851615,30355,Subscriber,1988,1
295,22:43.1,27:38.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,447,8 Ave & W 52 St,40.76370739,-73.9851615,28561,Subscriber,1974,1
342,47:43.8,53:26.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,30552,Subscriber,1988,1
604,10:29.9,20:34.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,17589,Subscriber,1990,2
432,47:58.5,55:11.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,21207,Subscriber,1983,1
497,50:44.9,59:02.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,458,11 Ave & W 27 St,40.751396,-74.005226,32417,Subscriber,1982,1
439,07:12.6,14:32.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,15721,Subscriber,1987,1
242,20:49.8,24:52.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,449,W 52 St & 9 Ave,40.76461837,-73.98789473,16521,Subscriber,1950,1
1092,40:03.2,58:15.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,496,E 16 St & 5 Ave,40.73726186,-73.99238967,25642,Subscriber,1980,1
1164,40:37.9,00:02.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,347,Greenwich St & W Houston St,40.728846,-74.008591,21653,Subscriber,1982,1
1308,46:36.8,08:25.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,435,W 21 St & 6 Ave,40.74173969,-73.99415556,16521,Subscriber,1957,1
555,48:10.0,57:25.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,525,W 34 St & 11 Ave,40.75594159,-74.0021163,19278,Subscriber,1992,1
530,25:16.0,34:06.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,458,11 Ave & W 27 St,40.751396,-74.005226,28963,Subscriber,1987,1
508,36:21.9,44:50.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,523,W 38 St & 8 Ave,40.75466591,-73.99138152,32487,Subscriber,1989,1
731,40:51.2,53:02.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,442,W 27 St & 7 Ave,40.746647,-73.993915,32944,Subscriber,1984,1
561,53:41.3,03:02.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,499,Broadway & W 60 St,40.76915505,-73.98191841,29849,Subscriber,1988,1
777,20:33.4,33:31.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,446,W 24 St & 7 Ave,40.74487634,-73.99529885,32380,Subscriber,1968,1
703,48:11.2,59:54.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,359,E 47 St & Park Ave,40.75510267,-73.97498696,19178,Subscriber,1992,1
800,53:51.8,07:12.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,19033,Subscriber,1991,1
409,41:45.6,48:35.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,468,Broadway & W 56 St,40.7652654,-73.98192338,30048,Subscriber,1981,1
877,37:17.5,51:54.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,167,E 39 St & 3 Ave,40.7489006,-73.97604882,30472,Subscriber,1975,1
1265,46:44.3,07:50.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,405,Washington St & Gansevoort St,40.739323,-74.008119,19124,Subscriber,1948,2
816,57:03.4,10:40.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,32306,Subscriber,1960,1
319,01:38.0,06:57.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,19801,Subscriber,1970,1
1574,31:55.9,58:10.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,490,8 Ave & W 33 St,40.751551,-73.993934,29907,Subscriber,1954,1
240,38:58.8,42:59.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,423,W 54 St & 9 Ave,40.76584941,-73.98690506,30429,Subscriber,1985,1
259,00:09.7,04:29.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,33057,Subscriber,1981,1
642,12:49.9,23:31.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,456,E 53 St & Madison Ave,40.7597108,-73.97402311,30471,Subscriber,1975,2
838,26:58.7,40:57.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,462,W 22 St & 10 Ave,40.74691959,-74.00451887,33029,Subscriber,1956,1
277,37:47.4,42:24.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,27602,Subscriber,1973,1
456,55:19.0,02:55.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,525,W 34 St & 11 Ave,40.75594159,-74.0021163,32306,Subscriber,1962,1
598,05:19.9,15:17.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,484,W 44 St & 5 Ave,40.75500254,-73.98014437,16094,Subscriber,1977,1
174,05:43.6,08:37.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,508,W 46 St & 11 Ave,40.76341379,-73.99667444,20189,Subscriber,1961,1
481,14:31.4,22:33.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3635,W 36 St & 9 Ave,40.75462324,-73.99516761,21480,Subscriber,1981,1
900,01:45.5,16:46.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,494,W 26 St & 8 Ave,40.74734825,-73.99723551,24818,Subscriber,1969,2
305,02:15.9,07:21.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,15028,Subscriber,1960,1
370,09:12.8,15:23.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,469,Broadway & W 53 St,40.76344058,-73.98268129,32691,Subscriber,1947,1
686,51:34.1,03:00.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,32243,Subscriber,1957,1
485,04:32.7,12:37.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,30933,Subscriber,1946,1
605,17:41.4,27:47.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3635,W 36 St & 9 Ave,40.75462324,-73.99516761,26390,Subscriber,1969,1
1244,37:08.9,57:53.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,487,E 20 St & FDR Drive,40.73314259,-73.97573881,28838,Subscriber,1966,1
663,34:37.5,45:41.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,480,W 53 St & 10 Ave,40.76669671,-73.99061728,32709,Subscriber,1980,1
409,51:15.9,58:05.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,30649,Subscriber,1968,1
477,09:41.0,17:38.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,19603,Subscriber,1983,1
647,59:17.1,10:04.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,16636,Subscriber,1966,2
2283,12:06.7,50:10.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3435,Grand St & Elizabeth St,40.718822,-73.99596,16636,Subscriber,1966,2
599,31:43.2,41:42.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,17226,Subscriber,1969,0
375,07:17.0,13:32.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,32609,Subscriber,1970,1
1093,12:22.3,30:35.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,253,W 13 St & 5 Ave,40.73543934,-73.99453948,31491,Subscriber,1968,1
760,16:03.9,28:44.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,442,W 27 St & 7 Ave,40.746647,-73.993915,26467,Subscriber,1962,1
1153,25:24.6,44:37.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,238,Bank St & Washington St,40.7361967,-74.00859207,17676,Subscriber,1991,1
1102,42:04.8,00:27.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,482,W 15 St & 7 Ave,40.73935542,-73.99931783,16309,Subscriber,1967,1
672,00:42.1,11:54.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,19297,Subscriber,1985,1
537,25:31.2,34:28.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,30936,Subscriber,1986,1
270,09:11.9,13:42.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,25859,Subscriber,1985,1
108,39:56.7,41:45.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,508,W 46 St & 11 Ave,40.76341379,-73.99667444,28481,Subscriber,1982,1
1077,10:02.6,27:59.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3255,8 Ave & W 31 St,40.75058535,-73.99468482,27376,Subscriber,1983,2
656,00:43.4,11:40.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,490,8 Ave & W 33 St,40.751551,-73.993934,17431,Subscriber,1992,1
1803,21:32.4,51:36.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,309,Murray St & West St,40.7149787,-74.013012,31787,Subscriber,1957,1
404,31:38.3,38:22.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,32113,Subscriber,1978,1
446,52:09.4,59:36.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,32939,Subscriber,1984,2
1287,01:37.8,23:04.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3255,8 Ave & W 31 St,40.75058535,-73.99468482,31245,Subscriber,1978,1
1567,25:55.7,52:03.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,32055,Subscriber,1984,1
374,52:09.3,58:23.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,31177,Subscriber,1991,1
702,47:27.6,59:09.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,477,W 41 St & 8 Ave,40.75640548,-73.9900262,20314,Subscriber,1946,1
1548,03:34.8,29:23.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,346,Bank St & Hudson St,40.73652889,-74.00618026,32004,Subscriber,1977,2
564,31:41.6,41:05.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,30701,Subscriber,1975,1
428,56:59.3,04:08.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,499,Broadway & W 60 St,40.76915505,-73.98191841,25087,Subscriber,1996,1
665,00:31.5,11:36.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,450,W 49 St & 8 Ave,40.76227205,-73.98788205,21360,Subscriber,1982,1
357,46:29.7,52:27.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,469,Broadway & W 53 St,40.76344058,-73.98268129,25617,Subscriber,1996,2
610,52:26.8,02:37.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,529,W 42 St & 8 Ave,40.7575699,-73.99098507,32048,Subscriber,1988,1
1230,55:35.7,16:06.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,14664,Subscriber,1985,2
1429,19:18.1,43:07.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,527,E 33 St & 2 Ave,40.744023,-73.976056,25608,Subscriber,1956,1
719,13:05.3,25:05.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,212,W 16 St & The High Line,40.74334935,-74.00681753,25743,Subscriber,1963,1
308,31:54.6,37:03.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,31014,Subscriber,1965,1
